PEMBIMBING,JUDUL TUGAS AKHIR/PENELITIAN
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI KASIR POINT OF SALES BERBASIS ANDROID (STUDI KASUS DI TOKO LIMA SURABAYA)
"DEWI RAHMAWATI, S.KOM., M.KOM.",RANCANG BANGUN APLIKASI PENDETEKSI BAHAN DAN WARNA PADA PRODUK FASHION JAKET KULIT MENGGUNAKAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK
"DEWI RAHMAWATI, S.KOM., M.KOM.",RANCANG BANGUN SISTEM PENJADWALAN BANK SAMPAH OPTIMAL DENGAN ALGORITMA VEHICLE ROUTING PROBLEM BERBASIS ANDROID STUDI KASUS: BANK SAMPAH BERKEMBANG MOJOKERTO
"ARDIAN YUSUF WICAKSONO, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI PEMESANAN MAKANAN DENGAN KUSTOMISASI KOMPOSISI
"DEWI RAHMAWATI, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI PELAPORAN KERUSAKAN JALAN DI KABUPATEN SIDOARJO DENGAN PENGELOMPOKAN BERDASARKAN TINGKAT KERUSAKAN BERBASIS WEB
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI PENCARIAN RUTE DISTRIBUSI BERBASIS MOBILE PADA PERUSAHAAN LOGISTIK DENGAN MENGGUNAKAN METODE TRAVELLING SALESMAN PROBLEM
"ARDIAN YUSUF WICAKSONO, S.KOM., M.KOM.",IDENTIFIKASI BATU GINJAL MENGGUNAKAN METODE CONVOLUTIONAL NEURAL NETWORK
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI PENGHAFAL AL-QURAN METODE AT-TIKRAR BERBASIS ANDROID DI RUMAH TAHFIDZ RABBUNALLOH SURABAYA
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI SISTEM PENJUALAN BAJU BERBASIS WEBSITE MENGGUNAKAN METODE EXTREME PROGRAMMING DENGAN STUDI KASUS TOKO HARTINI
"TITUS KRISTANTO, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI SISTEM INFORMASI PENGELOLAAN GEMES JUICE DAN PENGOLAHAN DATA PELANGGAN UNTUK MARKETING
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",RANCANG BANGUN SISTEM MANAJEMEN KEUANGAN BERBASIS ANDROID STUDI KASUS DI WARMINDO 88 SIDOARJO
"DEWI RAHMAWATI, S.KOM., M.KOM.",APLIKASI PENDETEKSI PENYAKIT KULIT MENGGUNAKAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",DESAIN DAN IMPLEMENTASI SISTEM PENGHITUNG JUMLAH DAN JENIS BARANG OTOMATIS DENGAN ALGORITMA YOLO
"TITUS KRISTANTO, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI SISTEM INFORMASI MANAJEMEN JASA FOTO DAN VIDEO WEDDING BERBASIS MOBILE DI SUMMERSTORY PHOTOGRAPHY SURABAYA
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI APLIKASI PEMESANAN JASA TRAVEL BERBASIS WEB DENGAN NAVIGASI SISTEM INFORMASI GEOGRAFIS
"DEWI RAHMAWATI, S.KOM., M.KOM.","DESAIN DAN IMPLEMENTASI SISTEM PENJUALAN TIKET KAPAL LAUT BERBASIS WEB DAN ANDROID (STUDI KASUS : SYAHBANDAR UPP KELAS III SAPEKEN, SUMENEP, JAWA TIMUR)"
"TITUS KRISTANTO, S.KOM., M.KOM.",Prediksi Pelaku Perjalanan Luar Negeri Di Masa Pandemi COVID-19 Menggunakan Metode Regresi Linier Sederhana
"TITUS KRISTANTO, S.KOM., M.KOM.",Manajemen SDM:(Strategi Organisasi Bisnis Modern)
"TITUS KRISTANTO, S.KOM., M.KOM.",Analisa & Perancangan Sistem Informasi Berorientasi Objek
"TITUS KRISTANTO, S.KOM., M.KOM.",Risk Priority Analysis for Change Management on E-Government using RIPC4 and AHP
"TITUS KRISTANTO, S.KOM., M.KOM.",Rancang Bangun Aplikasi Pemeliharaan Alat Menggunakan QR-Code (Studi Kasus Telkom Property Surabaya Utara)
"TITUS KRISTANTO, S.KOM., M.KOM.",PENGAJARAN BERBASIS TEKNOLOGI DIGITAL (Perkembangan dan Praktik)
"TITUS KRISTANTO, S.KOM., M.KOM.",REKAYASA PERANGKAT LUNAK
"TITUS KRISTANTO, S.KOM., M.KOM.",Pelatihan Pembuatan Database Dan Pelaporan Keuangan Bagi Pegawai Bank Indonesia
"TITUS KRISTANTO, S.KOM., M.KOM.",Marketing Digital Usaha Mikro
"TITUS KRISTANTO, S.KOM., M.KOM.",The Effect of Covid-19 Pandemic on Increasing Rice Tiwul Business Income Using System Dynamic Approach
"TITUS KRISTANTO, S.KOM., M.KOM.",KEWIRAUSAHAAN (TEORI DAN PRAKTIS)
"PANGESTU WIDODO, S.T., M.KOM.",Implementation of dosimetry protocol for radionuclide therapy in Indonesia: Collaborative works in nuclear medicine
"PANGESTU WIDODO, S.T., M.KOM.",Investigation of Image Quality for Quantitative Lu-177 in SPECT imaging: A Phantom Study
"PANGESTU WIDODO, S.T., M.KOM.",Dosimetry for Intensity Modulated Radiotherapy (IMRT) Technique Using Ion Chamber Matrix (MatriXX-FFF) with Back Projection Method (Usual 6MV and 10MV)
"PANGESTU WIDODO, S.T., M.KOM.",A simple gamma dosimeter using a film label made of polyvinyl alcohol and bark of Peltophorum ferrugineum extract
"PANGESTU WIDODO, S.T., M.KOM.",A Paper Label Made from Carmoisine Dyes as a Radiochromic Indicator for Gamma Rays
"PANGESTU WIDODO, S.T., M.KOM.",A UV dosimeter label made from films of polyvinyl alcohol and Swietenia mahagoni bark extract
"PANGESTU WIDODO, S.T., M.KOM.",Radiochromic film label made from chitosan and Taraxacum officinale leaf extract
"PANGESTU WIDODO, S.T., M.KOM.",Design of magnetic Circuit Simulation for Curing Device of Anisotropic MRE
"PANGESTU WIDODO, S.T., M.KOM.",Three-dimensional finite element magnetic simulation of an innovative multi-coiled magnetorheological brake
"PANGESTU WIDODO, S.T., M.KOM.",Controller development of a passive control ankle foot orthosis
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",SISTEM PENDETEKSI KERUSAKAN LUAR ANGKUTAN UMUM
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",Perancangan ComuLife Aplikasi Pendukung Kebutuhan Masyarakat Menghadapi Pandemi Covid-19
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",Pendeteksi Kendaraan Untuk Keamanan Perlintasan Kereta Api
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",SKILL TRAINING WEB DESIGN FOR STUDENTS AT SMK NEGERI 1 SURABAYA
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",PELATIHAN KETERAMPILAN WEB DESIGN BAGI SISWA SMK NEGERI 1 SURABAYA
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",Student Attendance System using QR Codes (Case Study: Institut Teknologi Telkom Surabaya)
"FIDI WINCOKO PUTRO, S.ST., M.KOM.","Coverage, diversity, and coherence optimization for multi-document summarization"
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",Penghilangan awan pada citra satelit dengan citra multi temporal dan inpainting berbasis self organizing map
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",PENGHILANGAN AWAN PADA CITRA SATELIT DENGAN CITRA MULTI-TEMPORAL DAN INPAINTING BERBASIS SELF-ORGANIZING MAP
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",Segmentasi pada Citra Panoramik Gigi dengan Metode Two-Stage SOM dan T-CLUSTER
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",Analisis Manajemen Keamanan Informasi Menggunakan Standard ISO 27001: 2005 Pada Staff IT Support Di Instansi XYZ
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",SKILL TRAINING WEB DESIGN FOR STUDENTS AT SMK NEGERI 1 SURABAYA
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",PELATIHAN KETERAMPILAN WEB DESIGN BAGI SISWA SMK NEGERI 1 SURABAYA
"MOHAMMAD SHOLIK, S.KOM., M.KOM.",Klasifikasi Sel Serviks Pada Citra Pap Smear berdasarkan Fitur Bentuk Deskriptor Regional dan Fitur Tekstur Uniform Rotated Local Binary Pattern
"DEWI RAHMAWATI, S.KOM., M.KOM.",Anomaly detection using control flow pattern and fuzzy regression in port container handling
"DEWI RAHMAWATI, S.KOM., M.KOM.",A New Hybrid Region-Based Segmentation for 2D Corpus Callosum Segmentation
"DEWI RAHMAWATI, S.KOM., M.KOM.",Corpus Callosum Segmentation from Brain MRI Images Based on Level Set Method
"DEWI RAHMAWATI, S.KOM., M.KOM.",Adoption of Knowledge Management System: A Study on How IGracias Should be Adopted for Telkom Campus
"DEWI RAHMAWATI, S.KOM., M.KOM.","Brain Segmentation using Adaptive Thresholding, K-Means Clustering and Mathematical Morphology in MRI Data"
"DEWI RAHMAWATI, S.KOM., M.KOM.",LEBANO (Lemari Pengering Pakaian Berbasis Arduino Uno) Sebagai Solusi Alternatif Pengering Pakaian
"DEWI RAHMAWATI, S.KOM., M.KOM.",APLIKASI PENCARIAN RUTE ANGKUTAN UMUM KOTA MALANG MENGGUNAKAN MOBILE GIS DAN SMARTPHONE ANDROID
"DEWI RAHMAWATI, S.KOM., M.KOM.",Analisis Manajemen Keamanan Informasi Menggunakan Standard ISO 27001: 2005 Pada Staff IT Support Di Instansi XYZ
"DEWI RAHMAWATI, S.KOM., M.KOM.",The Effect of Think Talk Write Learning Model Containing Science Literacy on Students Learning Competencies In SMA Kartika 1-5 Padang
"DEWI RAHMAWATI, S.KOM., M.KOM.",Deteksi Anomali menggunakan Control Flow Patterns dan Fuzzy Regression di Terminal Peti Kemas
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",HI PRINT : SISTEM INFORMASI LAYANAN PEMESANAN BERBASIS WEBSITE MENGGUNAKAN UNIFIED MODELING LANGUANGE (STUDI KASUS : ARYA GRAFIKA KOTA KEDIRI)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS FAKTOR ADOPSI M-PAYMENT MENGGUNAKAN UTAUT 2: STUDI KASUS UMKM KOTA SURABAYA
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",PENERAPAN PROTOTYPE WEBSITE ANGKUTAN UMUM SEBAGAI UPAYA MENGURANGI INTERAKSI PENGGUNA PUBLIC TRANSPORTATION DI ERA PANDEMI COVID-19 (STUDI KASUS KOTA TUBAN JAWA TIMUR)
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",PERANCANGAN USER INTERFACE PADA SISTEM INFORMASI AKADEMIK IGRACIAS MENGGUNAKAN PENDEKATAN USER CENTERED DESIGN DI INSTITUTE TEKNOLOGI TELKOM SURABAYA
"ULLY ASFARI, S.KOM., M.KOM.",PENGUJIAN KEPUASAN SISTEM INFORMASI AKADEMIK MENGGUNAKAN METODE END-USER COMPUTING SATISFACTION (STUDI KASUS: IGRACIAS ITTELKOM SURABAYA)
"YUPIT SUDIANTO, S.KOM., M.KOM.",EVALUASI SISTEM INFORMASI AKADEMIK BERDASARKAN DELONE & MCLEAN IS SUCCESS MODEL (STUDI KASUS: KRS ONLINE IGRACIAS ITTELKOM SURABAYA)
"YUPIT SUDIANTO, S.KOM., M.KOM.",ANALISIS IMPLEMENTASI PROTOKOL AJAX DAN WEBSOCKET DALAM PENGEMBANGAN WEB ECOMMERCE (STUDI KASUS: RUMAH KAPAS)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS CRITICAL SUCCESS FACTOR TERHADAP IMPLEMENTASI ERP DENGAN METODE ANALYTICAL HIERARCHY PROCESS (AHP) DAN FUZZY ANALYTICAL HIERARCHY PROCESS (F-AHP)
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",ANALISIS UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) TERHADAP PENERIMAAN ADOPSI TEKNOLOGI E-LEARNING PADA FITUR VIDEO CONFERENCE DI KALANGAN MAHASISWA KAMPUS BARU (STUDI KASUS: IT TELKOM SURABAYA)
"YUPIT SUDIANTO, S.KOM., M.KOM.",RANCANG BANGUN APLIKASI MARKETPLACE BERBASIS WEB (STUDI KASUS : PENGRAJIN KULIT DI DESA TANGGULANGIN SIDOARJO)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS KESIAPAN UMKM DALAM MENGADOPSI ELECTRONIC SUPPLY CHAIN MANAGEMENT MELALUI KOLABORASI TECHNOLOGY ACCEPTANCE MODEL PADA UMKM DI KOTA SURABAYA DAN SIDOARJO
"ULLY ASFARI, S.KOM., M.KOM.",EVALUASI SISTEM INFORMASI AKUNTANSI SEBAGAI TATA KELOLA KEUANGAN UNTUK MEWUJUDKAN SMART CITY PADA PEMERINTAHAN (STUDI KASUS DINAS KOMUNIKASI DAN INFORMATIKA PROVINSI JAWA TIMUR)
"YUPIT SUDIANTO, S.KOM., M.KOM.",ANALISIS MANAJEMEN RISIKO IT DI ORGANISASI XYZ BERDASARKAN ISO 31000:2018
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",ANALISIS CUSTOMER RELATIONSHIP MANAGEMENT DALAM PELAYANAN PT. TELKOM INDONESIA TBK BANYUWANGI KEPADA CUSTOMER INDIHOME
"HAWWIN MARDHIANA, S.KOM., M.KOM.",PENERAPAN MODEL UTAUT UNTUK MEMAHAMI NIAT MENGGUNAKAN INSTAGRAM MARKETING PADA PELAKU UMKM KOTA JOMBANG
"HAWWIN MARDHIANA, S.KOM., M.KOM.",SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN VENDOR DENGAN MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW) PADA PT. XYZ
"YUPIT SUDIANTO, S.KOM., M.KOM.",PENERAPAN DATA MINING DALAM PEMBUATAN DASHBOARD ANALISA PENJUALAN INDIHOME DATEL TABANAN
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS FAKTOR PENERIMAAN MASYARAKAT TERHADAP FITUR PEDULILINDUNGI PADA APLIKASI MITRA DALAM PENANGANAN KASUS COVID-19
"YUPIT SUDIANTO, S.KOM., M.KOM.","ANALISIS PENGARUH USER INTERFACE DESIGN, PERCEIVED EASY OF USE, PERCEIVED USEFULNESS PADA SISTEM PEMBAYARAN SHOPEEPAY TERHADAP PURCHASE INTENTION PENGGUNA SHOPEE"
"ULLY ASFARI, S.KOM., M.KOM.",EVALUASI PENGALAMAN PENGGUNA APLIKASI MOBILE XGRACIAS TELKOM CAMPUS MENGGUNAKAN USER EXPERIENCE QUESTIONNAIRE (UEQ)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS DAN PERANCANGAN ULANG ANTARMUKA PENGGUNA APLIKASI SIAMO DENGAN MENGGUNAKAN METODE USABILITY TESTING DAN SYSTEM USABILITY SCALE (SUS) (STUDI KASUS: PMI KOTA SURABAYA)
"YUPIT SUDIANTO, S.KOM., M.KOM.",PENGELOLAAN LAYANAN OPERASIONAL IGRACIAS INSTITUT TEKNOLOGI TELKOM SURABAYA BERDASARKAN SERVICE OPERATION ITIL V3
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",ANALISA TINGKAT KEPUASAN PENGGUNA INDIHOME MENGGUNAKAN METODE SERVQUAL DENGAN PENDEKATAN ANALYTIC HIERARCHY PROCESS (STUDI KASUS: PENGGUNA INDIHOME SIDOARJO)
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",ANALISIS KUALITAS APLIKASI QRAMAS TERHADAP KEPUASAN PENGGUNA MENGGUNAKAN METODE SERVQUAL DAN IPA
"ULLY ASFARI, S.KOM., M.KOM.",EVALUASI USER EXPERIENCE DAN PEMODELAN ULANG USER INTERFACE PADA APLIKASI XGRACIAS MENGGUNAKAN METODE DESIGN THINKING DAN MAZE USABILITY TESTING
"ULLY ASFARI, S.KOM., M.KOM.",ANALISIS DAN EVALUASI PERANCANGAN PROTOTYPE UI UX PADA WEBSITE ELECTRONIC LIBRARY IT TELKOM SURABAYA MENGGUNAKAN METODE USER CENTERED DESIGN
"ROKHMATUL INSANI, S.T., M.T.",RANCANG BANGUN APLIKASI REPORTING POSTINGAN BERITA DAN MEDIA SOSIAL BERBASIS WEB PADA INSTITUT TEKNOLOGI TELKOM SURABAYA
"YUPIT SUDIANTO, S.KOM., M.KOM.",PERANCANGAN BUSINES CONTINUITY PLAN PADA E-LEARNING DI INSTITUT TEKNOLOGI TELKOM SURABAYA
"ROKHMATUL INSANI, S.T., M.T.",PENERAPAN ALGORITMA C4.5 UNTUK MEMPREDIKSI KELULUSAN MAHASISWA DI INSTITUT TEKNOLOGI TELKOM SURABAYA
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",ANALISIS MANAJEMEN RISIKO KEAMANAN INFORMASI PADA WEBSITE PMB PERGURUAN TINGGI XYZ MENGGUNAKAN METODE OCTAVE ALLEGRO
"ULLY ASFARI, S.KOM., M.KOM.",REDESAIN WEBSITE SATUAN PENJAMINAN MUTU DAN PERENCANAAN ITTELKOM SURABAYA DENGAN MENGGUNAKAN METODE USER CENTERED DESIGN
"YUPIT SUDIANTO, S.KOM., M.KOM.","PENGUKURAN TINGKAT KEMATANGAN PADA PUSAT TEKNOLOGI INFORMASI (PUTI) INSTITUT TEKNOLOGI TELKOM SURABAYA MENGGUNAKAN FRAMEWORK COBIT 2019 DOMAIN DELIVER, SERVICE, AND SUPPORT (DSS)"
"ROKHMATUL INSANI, S.T., M.T.",RANCANG BANGUN SISTEM INFORMASI UNTUK PENGELOLAAN DATA INSTRUKTUR INTERNAL BERBASIS WEB DI PJB ACADEMY SURABAYA DENGAN METODE PENGEMBANGAN SDLC WATERFALL
"ULLY ASFARI, S.KOM., M.KOM.",RANCANG BANGUN SISTEM INFORMASI BERBASIS WEB PADA UMKM KEDAI VISUAL
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",ANALISIS KUALITAS WEBSITE PELAYANAN AKADEMIK PERGURUAN TINGGI MENGGUNAKAN PENDEKATAN INTERGRASI METODE WEBQUAL 4.0 DAN IMPORTANCE PERFORMANCE ANALYSIS (STUDI KASUS: IGRACIAS IT TELKOM SURABAYA)
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",MINAT PERILAKU PENGGUNAAN LINK AJA MENGGUNAKAN METODE PENDEKATAN TECHNOLOGY ACCEPTANCE MODEL (TAM) PADA MAHASISWA ITTELKOM SURABAYA
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",ANALISIS TINGKAT KEPUASAN PENGGUNA E-COMMERCE SHOPEE DI SURABAYA PADA FITUR LAYANAN PESAN ANTAR SHOPEEFOOD MENGGUNAKAN DELONE & MCLEAN
"YUPIT SUDIANTO, S.KOM., M.KOM.",RANCANG BANGUN APLIKASI PEMBELAJARAN INTERAKTIF BERBASIS PROGRESSIVE WEB APPLICATION UNTUK MENDUKUNG PEMBELAJARAN BAHASA PEMROGRAMAN (STUDI KASUS UKM CYCOLOGY IT TELKOM SURABAYA)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS KUALITAS LAYANAN SMART MOBILITY DI SURABAYA BERDASARKAN METODE SERVQUAL DAN AHP (ANALYTICAL HIERARCHY PROCESS) STUDY KASUS : APLIKASI GOBIS
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS KEPUASAN PENGGUNAAN WEBSITE E-LEARNING MENGGUNAKAN METODE SERVICE QUALITY DAN TECHNIQUE FOR OTHERS REFERENCE BY SIMILARITY TO IDEAL SOLUTION
"ROKHMATUL INSANI, S.T., M.T.",PENERAPAN THE FIVE PLANES DALAM RANCANG BANGUN SITUS WEB BAGI FORUM KOMUNIKASI ASTRONOM AMATIR LINTAS JAWA TIMUR (FOKALIS JATIM) DENGAN MENGGUNAKAN METODE WATERFALL
"YUPIT SUDIANTO, S.KOM., M.KOM.",EVALUASI KUALITAS SISTEM PEMBELAJARAN ONLINE MENGGUNAKAN ISO/IEC 25010 (STUDI KASUS: E-LEARNING ITTELKOM SURABAYA)
"ROKHMATUL INSANI, S.T., M.T.",RANCANG BANGUN E-KATALOG BERBASIS PROGRESSIVE WEB APP UNTUK PENGEMBANGAN SISTEM INFORMASI ELECTRONIC LIBRARY ITTELKOM SURABAYA
"ULLY ASFARI, S.KOM., M.KOM.",IMPLEMENTASI AUGMENTED REALITY SEBAGAI MEDIA PEMBELAJARAN INTERAKTIF PERAKITAN PERSONAL COMPUTER PADA MATA KULIAH ASITERKTUR DAN ORGANISASI KOMPUTER DI IT TELKOM SURABAYA
"ROKHMATUL INSANI, S.T., M.T.",PERANCANGAN DAN IMPLEMENTASI DASHBOARD MONITORING IT TELKOM SURABAYA BERDASARKAN STANDAR AKREDITASI PERGURUAN TINGGI BAN-PT
"ULLY ASFARI, S.KOM., M.KOM.",DESAIN DAN IMPLEMENTASI VIRTUAL REALITY BERBASIS 3D SEBAGAI MEDIA INFORMASI FASILITAS KAMPUS DI INSTITUT TEKNOLOGI TELKOM SURABAYA
"YUPIT SUDIANTO, S.KOM., M.KOM.",ANALISIS MANAJEMEN RISIKO TI DI INSTITUT TEKNOLOGI TELKOM SURABAYA MENGGUNAKAN ISO 31000:2018
"YUPIT SUDIANTO, S.KOM., M.KOM.","PENERAPAN ARSITEKTUR SISTEM INFORMASI PADA PT. TELKOM INDONESIA, TBK. KANDATEL BANYUWANGI DENGAN MENGGUNAKAN PENDEKATAN TOGAF ADM"
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS KEPUASAN PENGGUNA “XGRACIAS” MENGGUNAKAN METODE HEURISTIC EVALUATION TERHADAP MAHASISWA IT TELKOM SURABAYA
"YUPIT SUDIANTO, S.KOM., M.KOM.",IMPLEMENTASI TATA KELOLA MANAJEMEN LAYANAN TEKNOLOGI INFORMASI MENGGUNAKAN STANDAR ISO 20000:1 2018. STUDI KASUS: E-LEARNING ITTELKOM SURABAYA
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ANALISIS KEPUASAN PELANGGAN TERHADAP KUALITAS LAYANAN MENGGUNKAN APLIKASI SOSIAL MEDIA INSTAGRAM DENGAN METODE SERVQUAL DAN MODEL KANO PADA BISNIS ONLINE THRIFT STORE (STUDI KASUS: VACIO STORE)
"YUPIT SUDIANTO, S.KOM., M.KOM.",RANCANG BANGUN MODUL TEBANG MUAT ANGKUT PT PERKEBUNAN NUSANTARA XII PADA APLIKASI ONE STOP SOLUTION FOR PLANTERS BERBASIS ANDROID
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",EVALUASI PENINGKATAN LAYANAN IGRACIAS MENGGUNAKAN FRAMEWORK INFORMATION TECHNOLOGY INFRASTRUCTURE LIBRARY (ITIL) V3 DOMAIN SERVICE DESIGN
"ROKHMATUL INSANI, S.T., M.T.",ANALISIS KEPUASAN PENGGUNA APLIKASI MOBILE E-LEARNING DENGAN METODE TECHNOLOGY ACCEPTANCE MODEL (TAM) (STUDI KASUS PADA JURUSAN SISTEM INFORMASI INSTITUT TEKNOLOGI TELKOM SURABAYA)
"ULLY ASFARI, S.KOM., M.KOM.",3D Virtual prototyping dalam Perbaikan Desain Fasilitas Tempat Kerja: Studi Kasus CV.  XYZ
"ULLY ASFARI, S.KOM., M.KOM.",Implementasi Virtual Reality Berbasis Foto 360o Untuk Memvisualisasikan Fasilitas Perguruan Tinggi Surabaya
"ULLY ASFARI, S.KOM., M.KOM.",Faktor yang Mempengaruhi Implementasi Green Human Resource Management pada Ormawa: Model Konseptual: Indonesia
"ULLY ASFARI, S.KOM., M.KOM.",System Dynamic Framework: Increasing Productivity Of Sugarcane To Support Sustainable Cultivation
"ULLY ASFARI, S.KOM., M.KOM.",INOVASI KINERJA PRODUKSI KOPI UNTUK MENINGKATKAN KEUNTUNGAN MELALUI KEGIATAN PENGABDIAN MASYARAKAT KE UKM KOPI ARABICA TRADISIONAL
"ULLY ASFARI, S.KOM., M.KOM.",Implementasi Virtual Reality Berbasis Foto 360 derajat Untuk Memvisualisasikan Fasilitas Perguruan Tinggi Surabaya
"ULLY ASFARI, S.KOM., M.KOM.",Modeling of salt supply chains to achieve competitive salt prices
"ULLY ASFARI, S.KOM., M.KOM.",Pengaruh Pelatihan dan Pengembangan SDM Pada ABA Collection Terhadap Kinerja Pegawai Menggunakan Metode Regresi Linear Berganda
"ULLY ASFARI, S.KOM., M.KOM.",Dynamic simulation model of salt supply chain to increase farmers income
"ULLY ASFARI, S.KOM., M.KOM.",Determining Salt Production Season Based on Rainfall Forecasting Using Weighted Fuzzy Time Series.
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",Risk Priority Analysis for Change Management on E-Government using RIPC4 and AHP
